,gid,config
601,90645,pvwattsv5_tracking
602,90646,pvwattsv5_tracking
603,90647,pvwattsv5_tracking
604,90648,pvwattsv5_tracking
605,90649,pvwattsv5_tracking
606,90650,pvwattsv5_tracking
607,90651,pvwattsv5_tracking
608,90652,pvwattsv5_tracking
609,90653,pvwattsv5_tracking
610,90654,pvwattsv5_tracking
611,90655,pvwattsv5_tracking
612,90656,pvwattsv5_tracking
613,90657,pvwattsv5_tracking
614,90658,pvwattsv5_tracking
615,90659,pvwattsv5_tracking
616,90660,pvwattsv5_tracking
617,90661,pvwattsv5_tracking
618,90662,pvwattsv5_tracking
619,90663,pvwattsv5_tracking
620,90664,pvwattsv5_tracking
621,90665,pvwattsv5_tracking
622,90666,pvwattsv5_tracking
623,90667,pvwattsv5_tracking
624,90668,pvwattsv5_tracking
625,90669,pvwattsv5_tracking
626,91038,pvwattsv5_tracking
627,91039,pvwattsv5_tracking
628,91040,pvwattsv5_tracking
629,91041,pvwattsv5_tracking
630,91042,pvwattsv5_tracking
631,91043,pvwattsv5_tracking
632,91044,pvwattsv5_tracking
633,91045,pvwattsv5_tracking
634,91046,pvwattsv5_tracking
635,91047,pvwattsv5_tracking
636,91048,pvwattsv5_tracking
637,91049,pvwattsv5_tracking
638,91050,pvwattsv5_tracking
639,91051,pvwattsv5_tracking
640,91052,pvwattsv5_tracking
641,91053,pvwattsv5_tracking
642,91054,pvwattsv5_tracking
643,91055,pvwattsv5_tracking
644,91056,pvwattsv5_tracking
645,91057,pvwattsv5_tracking
646,91058,pvwattsv5_tracking
647,91059,pvwattsv5_tracking
648,91060,pvwattsv5_tracking
649,91061,pvwattsv5_tracking
650,91062,pvwattsv5_tracking
651,91063,pvwattsv5_tracking
652,91064,pvwattsv5_tracking
653,91065,pvwattsv5_tracking
654,91066,pvwattsv5_tracking
